Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2022,BMW,BMX,BMW,330e,FH19878,0,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.23,28.8,1,Not eqipped,MBMX10062827,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.0297339,0.8745224,359.4342713,,,0.0054862,,24.7,MPG,18.6079552,26.9815552,26.6898584,,-0.1885683,-0.0310438,-0.0879674,50.000,0.08300,0.019270,13.000,0.29600,0.016280,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330e,FH19878,0,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.23,28.8,1,Not eqipped,MBMX10062828,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0021892,0.5812455,341.6419047,0.0037672,,0.0016118,,25.6,MPG,,,,,1.7412424,1.4451335,2.0040447,45.000,0.07500,0.017350,12.200,0.34300,0.014270,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330e,FH19878,0,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.23,28.8,1,Not eqipped,MBMX10062829,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0004174,0.0858080,294.7770979,0.0077195,0.0007860,0.0001639,,29.8,MPG,19.0097773,35.5580889,,,-5.7825470,-3.6954260,-2.0501468,45.000,0.07500,0.017350,12.200,0.34300,0.014270,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330e,FH19878,0,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.23,28.8,1,Not eqipped,MBMX10062831,MFR,No,,,,,81,Charge Depleting UDDS,62,Electricity,CD,,,,,,,,,MPG,,,,,,,,45.000,0.07500,0.017350,12.200,0.34300,0.014270,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330e,FH19878,0,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.23,28.8,1,Not eqipped,MBMX10062840,MFR,No,,,,,84,Charge Depleting Highway,62,Electricity,CD,,,,,,,,,MPG,,,,,,,,45.000,0.07500,0.017350,12.200,0.34300,0.014270,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330e,FH19878,0,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.23,28.8,1,Not eqipped,MBMX10063115,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0054800,0.5862000,260.8247000,0.0017000,,0.0017500,0.0004000,33.5,MPG,25.5000000,39.7000000,30.8000000,41.4000000,1.8440000,1.2880000,0.5460000,45.000,0.07500,0.017350,12.200,0.34300,0.014270,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330e,FH19878,0,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20S,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4250,3.23,28.8,1,Not eqipped,MBMX10063116,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0000400,0.0247000,190.9187000,0.0029000,,0,,46.0,MPG,,,,,1.4120000,1.0300000,-0.2040000,45.000,0.07500,0.017350,12.200,0.34300,0.014270,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330e xDrive,AK22515,1,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,MBMX10062797,MFR,No,,,,,81,Charge Depleting UDDS,62,Electricity,CD,,,,,,,,,MPG,,,,,,,,52.900,-0.20100,0.021150,14.800,-0.21300,0.019130,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330e xDrive,AK22515,1,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,MBMX10062798,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.0277153,1.0607568,363.5504027,,,0.0062171,,24.4,MPG,17.9536451,25.9961464,28.5950746,,0.3028346,0.3364660,0.4400577,58.800,-0.22400,0.023500,58.000,0.81700,0.027950,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330e xDrive,AK22515,1,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,MBMX10062799,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0031298,0.9666094,416.9023646,0.0030424,,0.0021975,,21.0,MPG,,,,,2.0062591,1.9390610,1.5264836,52.900,-0.20100,0.021150,14.800,-0.21300,0.019130,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330e xDrive,AK22515,1,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,MBMX10062819,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0014348,0.4660965,316.6573681,0.0074105,,0.0007638,,27.7,MPG,17.9206643,32.6806367,,,2.4248986,0.9593812,0.6663713,52.900,-0.20100,0.021150,14.800,-0.21300,0.019130,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330e xDrive,AK22515,1,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,MBMX10062820,MFR,No,,,,,84,Charge Depleting Highway,62,Electricity,CD,,,,,,,,,MPG,,,,,,,,52.900,-0.20100,0.021150,14.800,-0.21300,0.019130,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330e xDrive,AK22515,1,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,MBMX10063112,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0045400,0.5262000,285.3612000,0.0020000,,0.0014700,0.0002000,30.7,MPG,21.4000000,33.3000000,29.8000000,36.7000000,2.2170000,1.4070000,0.9300000,52.900,-0.20100,0.021150,14.800,-0.21300,0.019130,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330e xDrive,AK22515,1,2.000,MBMXJ02.0H30,Both,181,4,XB1142O1G20X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4500,3.23,28.8,1,Not eqipped,MBMX10063113,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0000200,0.0226000,202.4443000,0.0034000,,0.0001300,,43.5,MPG,,,,,3.8330000,3.1930000,0.3140000,52.900,-0.20100,0.021150,14.800,-0.21300,0.019130,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330i,AE81240,0,2.000,KBMXJ02.0B4X,Both,255,4,B4620O1-G20-S,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,KBMX10056048,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0079180,0.1383560,259.6720000,0.0064165,,0.0012277,0.0002054,34.0,MPG,32.3299000,33.2749000,37.1783000,,-1.6871700,-1.0549200,-1.8662900,41.600,-0.11000,0.018550,15.600,0.21700,0.014060,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330i,AE81240,0,2.000,KBMXJ02.0B4X,Both,255,4,B4620O1-G20-S,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,KBMX10056049,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0006900,0.0187500,169.7300000,0.0033500,,0,,52.1,MPG,,,,,-0.0680000,-0.1770000,-0.6940000,41.600,-0.11000,0.018550,15.600,0.21700,0.014060,TWC,Three-way catalyst,N,,,N,No averaging
